sub001_og_fw_lap6.txt
Scaling.Coef.Hip	1.300000	Scaling.Coef.Knee	1.000000	Start.Time	0.000000	End.Time	21.490000
ave.x	ave.y	ave.z	ave.angle.1	ave.angle.2	ave.angle.3	ave.angle.4	target.x	target.y	target.z	target.angle.1	target.angle.2	target.angle.3	target.angle.4
-0.092	-0.830	-0.014	-0.015	0.017	0.000	-0.186	-0.091	-0.830	0.000
-0.094	-0.830	-0.014	-0.017	0.017	0.000	-0.186	-0.092	-0.830	0.000
-0.095	-0.830	-0.015	-0.019	0.018	0.000	-0.186	-0.094	-0.830	0.000
-0.096	-0.830	-0.015	-0.020	0.018	0.000	-0.186	-0.095	-0.830	0.000
-0.098	-0.829	-0.016	-0.022	0.019	0.000	-0.186	-0.096	-0.830	0.000
-0.099	-0.829	-0.016	-0.024	0.020	0.000	-0.187	-0.098	-0.829	0.000
-0.102	-0.829	-0.017	-0.026	0.020	0.000	-0.187	-0.099	-0.829	0.000
-0.102	-0.829	-0.017	-0.027	0.021	0.000	-0.187	-0.102	-0.829	0.000
-0.104	-0.829	-0.018	-0.029	0.022	0.000	-0.187	-0.102	-0.829	0.000
-0.105	-0.828	-0.019	-0.030	0.023	0.000	-0.187	-0.104	-0.829	0.000
-0.107	-0.828	-0.020	-0.033	0.024	0.000	-0.187	-0.105	-0.828	0.000
-0.108	-0.828	-0.020	-0.034	0.024	0.000	-0.187	-0.107	-0.828	0.000
-0.109	-0.828	-0.021	-0.035	0.025	0.000	-0.187	-0.108	-0.828	0.000
-0.111	-0.827	-0.022	-0.037	0.027	0.000	-0.187	-0.109	-0.828	0.000
-0.113	-0.827	-0.023	-0.040	0.028	0.000	-0.187	-0.111	-0.827	0.000
-0.115	-0.827	-0.024	-0.042	0.029	0.000	-0.187	-0.113	-0.827	0.000
-0.116	-0.827	-0.025	-0.043	0.029	0.000	-0.187	-0.115	-0.827	0.000
-0.117	-0.826	-0.026	-0.045	0.031	0.000	-0.186	-0.116	-0.827	0.000
-0.118	-0.826	-0.026	-0.047	0.032	0.000	-0.186	-0.117	-0.826	0.000
-0.120	-0.826	-0.027	-0.048	0.032	0.000	-0.186	-0.118	-0.826	0.000
-0.122	-0.826	-0.028	-0.051	0.034	0.000	-0.186	-0.120	-0.826	0.000
-0.122	-0.825	-0.029	-0.052	0.034	0.000	-0.185	-0.122	-0.826	0.000
-0.124	-0.825	-0.030	-0.054	0.036	0.000	-0.185	-0.122	-0.825	0.000
-0.125	-0.825	-0.031	-0.056	0.037	0.000	-0.185	-0.124	-0.825	0.000
-0.128	-0.824	-0.032	-0.059	0.038	0.000	-0.184	-0.125	-0.825	0.000
-0.130	-0.824	-0.033	-0.062	0.039	0.000	-0.184	-0.128	-0.824	0.000
-0.131	-0.824	-0.034	-0.063	0.040	0.000	-0.184	-0.130	-0.824	0.000
-0.131	-0.824	-0.034	-0.064	0.041	0.000	-0.183	-0.131	-0.824	0.000
-0.133	-0.824	-0.035	-0.066	0.042	0.000	-0.183	-0.131	-0.824	0.000
-0.135	-0.823	-0.036	-0.069	0.043	0.000	-0.182	-0.133	-0.824	0.000
-0.136	-0.823	-0.036	-0.071	0.044	0.000	-0.182	-0.135	-0.823	0.000
-0.137	-0.823	-0.038	-0.072	0.045	0.000	-0.182	-0.136	-0.823	0.000
